"SR. NO.","Date","Day","Occasion"
"1","26/2/2025 ","Wednesday","Mahashivratri"
"2","14/3/2025 ","Friday","Holi"
"3","31/3/2025 ","Monday","Id-Ul-Fitr (Ramadan Eid)"
"4","10/4/2025 ","Thursday","Shri Mahavir Jayanti"
"5","14/4/2025 ","Monday","Dr. Baba Saheb Ambedkar Jayanti"
"6","18/4/2025 ","Friday","Good Friday"
"7","01/5/2025 ","Thursday","Maharashtra Day"
"8","15/8/2025 ","Friday","Independence Day"
"9","27/8/2025 ","Wednesday","Ganesh Chaturthi"
"10","02/10/2025 ","Thursday","Mahatma Gandhi Jayanti/Dussehra"
"11","21/10/2025 ","Tuesday","Diwali Laxmi Pujan*"
"12","22/10/2025 ","Wednesday","Diwali-Balipratipada"
"13","05/11/2025 ","Wednesday","Prakash Gurpurb Sri Guru Nanak Dev"
"14","25/12/2025 ","Thursday","Christmas"
"15","15/1/2026 ","Thursday","Municipal Corporation Election - Maharashtra"
"16","26/1/2026 ","Monday","Republic Day"
"17","03/3/2026 ","Tuesday","Holi"
"18","26/3/2026 ","Thursday","Shri Ram Navami"
"19","31/3/2026 ","Tuesday","Shri Mahavir Jayanti"
"20","03/4/2026 ","Friday","Good Friday"
"21","14/4/2026 ","Tuesday","Dr. Baba Saheb Ambedkar Jayanti"
"22","01/5/2026 ","Friday","Maharashtra Day"
"23","28/5/2026 ","Thursday","Bakri Id"
"24","26/6/2026 ","Friday","Muharram"
"25","14/9/2026 ","Monday","Ganesh Chaturthi"
"26","02/10/2026 ","Friday","Mahatma Gandhi Jayanti"
"27","20/10/2026 ","Tuesday","Dussehra"
"28","10/11/2026 ","Tuesday","Diwali-Balipratipada"
"29","24/11/2026 ","Tuesday","Prakash Gurpurb Sri Guru Nanak Dev"
"30","25/12/2026 ","Friday","Christmas"
""
"*Muhurat Trading will be conducted. Timings of Muhurat Trading shall be notified subsequently by NSE."
""
