symbol,tfPrevClose,tfPct,tfRFactor
360ONE,1155,3.20,1.50
ABB,7700,-0.12,0.49
ABCAPITAL,420,1.12,0.71
ADANIENSOL,1646,-0.24,0.87
ADANIENT,3050,0.00,0.85
ADANIGREEN,1384,-0.29,1.04
ADANIPORTS,1706.7,-0.39,0.41
ADANIPOWER,209.95,-0.46,1.25
ALKEM,5608,1.58,0.84
AMBUJACEM,436.05,2.05,1.06
ANGELONE,300.35,-0.38,0.87
APLAPOLLO,1920,1.48,1.48
APOLLOHOSP,9050,-1.55,1.52
ASHOKLEY,172.08,2.86,0.90
ASIANPAINT,2775,-0.54,0.65
ASTRAL,1448,-0.92,0.96
AUBANK,1059,-0.73,0.70
AUROPHARMA,1585.9,1.73,2.12
AXISBANK,1261.8,-0.63,1.11
BAJAJ-AUTO,11600,1.72,1.21
BAJAJFINSV,2105,-0.90,1.58
BAJAJHLDNG,11475,0.18,1.17
BAJFINANCE,1149,0.85,1.51
BANDHANBNK,173.6,-1.81,1.27
BANKBARODA,245,0.24,0.41
BANKINDIA,140.44,0.40,0.51
BDL,1265,-1.98,2.39
BEL,391.5,-0.38,1.28
BHARATFORG,2195,0.10,0.83
BHARTIARTL,1970.1,0.40,1.57
BHEL,411.95,0.11,0.04
BIOCON,422,0.76,0.35
BLUESTARCO,1685,-1.19,1.52
BOSCHLTD,41200,4.17,5.31
BPCL,324,0.69,0.46
BRITANNIA,5478,-0.69,1.27
BSE,3618,-2.31,2.30
CAMS,809.4,0.30,0.00
CANBK,128,0.71,0.84
CDSL,1340,-1.01,0.94
CGPOWER,880.05,1.07,0.08
CHOLAFIN,1875,0.27,1.39
CIPLA,1460,-0.08,0.70
COALINDIA,417.6,-0.50,1.09
COFORGE,1749.9,1.55,0.79
COLPAL,2010,1.49,0.12
CONCOR,515,0.26,1.60
CUMMINSIND,5550,-1.98,2.61
DABUR,409.65,1.06,1.32
DALBHARAT,1827,0.61,1.16
DIVISLAB,8378,0.12,0.59
DLF,643.4,0.89,0.74
DMART,4023,-1.91,1.06
DRREDDY,1172.6,0.29,1.02
EICHERMOT,7935,0.65,0.98
ETERNAL,312.4,-0.66,0.78
EXIDEIND,458.35,2.05,2.49
FEDERALBNK,362.45,-1.66,1.37
FORCEMOT,18378,0.87,0.71
FORTIS,932.8,-0.84,1.30
GAIL,175,1.12,1.52
GLENMARK,2225,1.53,2.20
GMRAIRPORT,106.56,0.41,0.97
GODFRYPHLP,2336.9,-0.51,1.23
GODREJCP,1058.2,1.02,0.80
GODREJPROP,2033.6,3.22,1.32
GRASIM,3138,2.74,2.28
GVT&D,4333.2,1.77,0.53
HCLTECH,1369.9,-1.45,1.35
HDFCAMC,2556,0.23,0.67
HDFCBANK,742,-0.94,0.75
HDFCLIFE,535.95,1.69,1.28
HEROMOTOCO,5548,2.56,1.64
HINDALCO,1020,1.96,0.95
HINDPETRO,391.5,0.88,0.78
HINDUNILVR,2096.5,-0.53,0.00
HINDZINC,562.9,6.05,4.07
HYUNDAI,2220,-0.07,0.00
ICICIBANK,1454.6,-0.31,1.77
ICICIGI,1644.8,2.38,1.33
ICICIPRULI,513.55,0.58,1.02
IDFCFIRSTB,86,-0.81,1.35
IEX,129.2,0.30,0.68
INDHOTEL,750,-1.19,1.98
INDIANB,845,1.07,0.71
INDIGO,5358,0.78,1.43
INDUSINDBK,1026,-0.68,1.47
INFY,1167.5,0.56,0.12
INOXWIND,79.21,-0.44,1.44
IOC,141.6,1.69,0.54
IREDA,120.35,0.29,1.17
IRFC,89.6,-0.78,1.79
ITC,289,-0.71,0.00
JINDALSTEL,1124,-0.94,0.58
JIOFIN,265,-1.15,1.74
JSWENERGY,568,-0.35,1.26
JSWSTEEL,1300,2.31,3.07
JUBLFOOD,465,4.30,2.29
KALYANKJIL,591.4,-3.70,1.64
KAYNES,3875,0.59,0.39
KFINTECH,948.95,-0.02,0.00
KOTAKBANK,398,0.50,0.00
KPITTECH,625.6,-0.42,0.42
LAURUSLABS,1850,-0.81,0.10
LICHSGFIN,512,0.01,0.80
LICI,391.3,0.43,1.01
LODHA,1229.8,1.64,0.00
LT,3990,1.68,0.76
LTF,317.9,0.16,1.61
LTM,4559,-1.16,1.08
LUPIN,2410,-0.91,0.54
M&M,3433,0.65,0.71
MANAPPURAM,356.6,1.96,1.25
MANKIND,2438,-0.10,0.52
MARICO,875,-2.63,1.25
MARUTI,14168,0.16,0.73
MAXHEALTH,1077,0.28,0.79
MAZDOCK,2389,-0.36,1.62
MCX,2680,-3.04,0.71
MFSL,1519.3,0.24,1.35
MOTHERSON,151,2.22,2.53
MOTILALOFS,861,2.21,0.89
MPHASIS,2380,3.36,1.86
MUTHOOTFIN,2870,0.77,1.15
NATIONALUM,377,1.06,1.16
NAUKRI,1260,-1.43,2.25
NBCC,94.84,1.22,0.00
NESTLEIND,1520,0.00,2.04
NHPC,80.5,-2.36,6.32
NMDC,84.2,1.90,1.39
NTPC,343.65,1.82,1.81
NUVAMA,1694.2,-0.99,1.70
NYKAA,342.5,-2.09,2.27
OBEROIRLTY,1778.8,1.56,1.04
OFSS,11600,1.37,1.33
OIL,450,-1.33,1.75
ONGC,242,-0.74,0.55
PAGEIND,39750,1.52,0.79
PATANJALI,359.9,-0.81,1.14
PAYTM,1400,2.07,0.91
PERSISTENT,5499,0.38,0.53
PETRONET,285,-1.47,0.50
PFC,420,-0.48,1.33
PHOENIXLTD,1932.3,-0.09,0.99
PIIND,2785.5,0.88,1.07
PNB,113.99,-0.39,0.53
PNBHOUSING,1080,3.85,3.54
POLICYBZR,1597,1.44,1.23
POLYCAB,9176,0.26,0.62
POWERGRID,283.4,-0.58,1.29
POWERINDIA,32005,1.23,0.42
PREMIERENE,1036.3,0.74,0.00
PRESTIGE,1595,-0.13,0.53
RADICO,4450,2.25,2.08
RBLBANK,380.55,2.43,1.98
RECLTD,368,-0.54,2.21
RELIANCE,1290.9,-0.84,1.84
RVNL,231.4,-1.04,2.01
SAIL,173.55,1.12,1.11
SBICARD,658,1.17,1.28
SBILIFE,1899,-1.01,0.93
SBIN,1042.7,1.18,1.16
SHREECEM,26900,0.00,0.58
SHRIRAMFIN,1087.3,3.23,1.56
SIEMENS,4000.5,-0.51,2.08
SOLARINDS,18700,-1.60,0.64
SONACOMS,787,3.51,4.18
SUNPHARMA,1964,-1.22,1.40
SUPREMEIND,3501,-1.15,0.60
SUZLON,48.01,0.29,0.83
SWIGGY,291,-0.38,0.00
TATACONSUM,1092,0.39,0.77
TATAELXSI,3737,0.34,0.56
TATAPOWER,380,0.79,1.29
TATASTEEL,190.95,1.07,0.00
TCS,2460,-1.91,0.85
TECHM,1648.5,0.09,0.78
TIINDIA,2744.3,1.59,1.39
TITAN,4935,-0.46,0.44
TMPV,348.55,0.36,0.87
TORNTPHARM,5030,-0.60,0.84
TRENT,3107.7,0.69,0.58
TVSMOTOR,4360,2.18,1.05
ULTRACEMCO,12050,1.16,1.93
UNIONBANK,174,1.03,0.96
UNITDSPR,1525,-0.33,0.89
UNOMINDA,1227,1.87,1.78
UPL,581.9,-0.80,0.00
VBL,439,-0.46,0.00
VEDL,269,2.97,1.89
VMM,111.3,-0.27,1.00
VOLTAS,1327.7,-2.05,1.28
WAAREEENER,2670,1.01,0.43
WIPRO,186.3,0.37,0.90
YESBANK,23,-0.13,0.18
ZYDUSLIFE,1130,-0.79,1.38
